ASN,Organización,Descripción,País
10035,HYUNDAIDEPT-AS-KR,"Hyundai Department Store Co., Ltd.",KR
131094,HYUNDAIMOTORCO-AS-KR,HYUNDAI MOTOR CO,KR
134225,HYUNDAI-AS-AP,Hyundai Motor India Engineering Pvt Ltd,IN
135879,HYUNDAI-AS-AP,Hyundai Motor Company Australia Pty Ltd,AU
14961,HYUNDAI-INFORMATION-SERVICE-NORTH-AMERICA,"Kia Motors America, Inc.",US
17838,E-HYUNDAI-AS-KR,HYUNDAI HOMESHOPPING,KR
265546,"HYUNDAI AUTOEVER MEXICO, S. DE R.L. DE CV","HYUNDAI AUTOEVER MEXICO, S. DE R.L. DE CV",MX
4670,HYUNDAI-KR,Shinbiro,KR
52782,HYUNDAI AUTOEVER BRASIL TECNOLOGIA DA INFORMACAO,HYUNDAI AUTOEVER BRASIL TECNOLOGIA DA INFORMACAO,BR
9529,HYUNDAICARD-AS-KR,hyundaicapital,KR
9629,HYUNDAICAPITAL-AS-KR,HYUNDAICARD CO.,KR
9645,HYUNDAIFUTURES-AS,HI INVESTMENT FUTURES CORPORATION,KR
6128,CABLE-NET-1 (HYUNDAI HYUNDAI),,US
7922,COMCAST-7922 (HYUNDAI),,US
14453,AS-AKN (Hyundai),,CA
3602,AS3602-ROGERS-COM (HYUNDAI),,CA
7018,ATT-INTERNET4 (Hyundai),,US
7270,NET2PHONE (Hyundai),,US
18687,MPOWER-2 (Hyundai),,US
577,BACOM (Alpine Hyundai),,CA
16399,FIRSTCOMM-AS2 (Patrick Hyundai),,US
11427,TWC-11427-TEXAS (GREENVILLE HYUNDAI),,US
20115,CHARTER-20115 (Hyundai Glovis),,US
7029,WINDSTREAM (Keffer Hyundai),,US
4181,TDS-AS (ARROW HYUNDAI),,US
7385,ALLSTREAM (Avondale Hyundai),,US
10796,TWC-10796-MIDWEST (CRESTMONT HYUNDAI),,US
12271,TWC-12271-NYC (HYUNDAI CITY),,US
209,CENTURYLINK-US-LEGACY-QWEST (MULLINAX HYUNDAI),,US
812,ROGERS-COMMUNICATIONS (Sisley Hyundai),,CA
13825,TROYCABLE-NET (Mitchell Hyundai),,US
32613,IWEB-AS (Hyundai Sherbrooke),,CA
2711,SPIRITTEL-AS (Murfreesboro Hyundai),,US
13319,S-I-S (Pathway Hyundai),,CA
22773,ASN-CXA-ALL-CCI-22773-RDC (Tulsa Hyundai),,US
15227,LUMOS (Mountaineer Hyundai),,US
5650,FRONTIER-FRTR (PJD Hyundai),,US
11351,TWC-11351-NORTHEAST (FUCCILLO HYUNDAI),,US
11215,LOGIXCOMM-AS (EDMOND HYUNDAI),,US
0," (Dartmouth Hyundai)",,CA
14265,US-TELEPACIFIC (Keyes Hyundai),,US
11342,PATHWAY (Hyundai Thornhill),,CA
6389,BELLSOUTH-NET-BLK (CCLD Hyundai),,US
33132,FIBERNET-DIRECT (Potamkin Hyundai),,US
20001,TWC-20001-PACWEST (HYUNDAI CORPORATION),,US
19994,RACKSPACE (Hyundai Mexico),,US
