Dominio,IP,Numero de subdominios
mercadona.com,195.53.43.3,0
mercadona.com,195.53.42.3,0
mercadona.com,195.53.42.3,0
mercadona.com,195.53.43.3,0
almiron.es,212.101.69.253,0
almiron.es,212.101.69.253,0
satse.es,212.101.75.228,0
mdrctr.com,212.101.90.83,0
servicom2000.com,212.101.66.132,0
servicom2000.com,212.101.66.233,0
servicom2000.com,212.101.66.181,0
servicom2000.com,212.101.66.203,0
ferraes.net,212.101.67.13,0
gresvives.com,212.101.67.13,0
gresvives.net,212.101.67.13,0
grupovives.com,212.101.67.13,0
grupovives.net,212.101.67.13,0
mundoazulejo.com,212.101.67.13,0
vivesgres.com,212.101.67.13,0
vivesgres.net,212.101.67.13,0
vivirlaceramica.com,212.101.67.13,0
tirant.com,212.101.77.151,0
servicom2000.com,212.101.66.124,0
servicom2000.com,212.101.66.155,0
servicom2000.com,212.101.66.252,0
servicom2000.com,212.101.88.137,0
shopnetbrokers.com,212.101.76.38,0
shopnetbrokers.com,212.101.76.38,0
shopnetbrokers.com,212.101.76.38,0
servicom2000.com,212.101.79.100,0
servicom2000.com,212.101.66.211,0
servicom2000.com,212.101.66.37,0
servicom2000.com,212.101.66.65,0
tirant.com,212.101.67.17,0
tirantformacion.com,212.101.67.17,0
servicom2000.com,212.101.66.84,0
admconcursal.com,212.101.75.65,0
hospital-ribera.com,212.101.90.8,0
servicom2000.com,212.101.64.182,0
servicom2000.com,212.101.66.152,0
servicom2000.com,212.101.66.154,0
servicom2000.com,212.101.66.214,0
servicom2000.com,212.101.66.26,0
servicom2000.com,212.101.66.75,0
servicom2000.com,212.101.66.27,0
mdrctr.com,212.101.74.44,0
vacacionesparacolectivos.com,212.101.89.77,0
olympiamad.com,212.101.89.77,0
vacacionesparacolectivos.com,212.101.89.77,0
servicom2000.com,212.101.64.73,0
servicom2000.com,212.101.66.168,0
seralia.es,212.101.74.78,0
servicom2000.com,212.101.66.5,0
servicom2000.com,212.101.66.93,0
topcosta.com,212.101.89.4,0
topcosta.com,212.101.89.4,0
topcosta.com,212.101.89.4,0
naoporcelain.com,212.101.75.134,0
servicom2000.com,212.101.66.18,0
servicom2000.com,212.101.66.58,0
servicom2000.com,212.101.66.73,0
servicom2000.com,212.101.66.81,0
servicom2000.com,212.101.66.114,0
mdrctr.com,212.101.90.89,0
servicom2000.com,212.101.66.95,0
ideal-tours.com,212.101.89.10,0
ideal-tours.com,212.101.89.10,0
ideal-tours.com,212.101.89.10,0
ideal-tours.com,212.101.89.10,0
ideal-tours.com,212.101.89.10,0
benidormvacaciones.com,212.101.89.10,0
ideal-tours.com,212.101.89.10,0
hospital-ribera.com,212.101.90.13,0
hospital-ribera.com,212.101.90.13,0
mdrctr.com,212.101.74.39,0
riberasalud.es,212.101.89.41,0
mdrctr.com,212.101.90.87,0
escapadasregiondemurcia.es,212.101.89.11,0
a3transfer.com,212.101.89.11,0
alltheywant.es,212.101.89.11,0
