Dominio,IP,Numero de subdominios
actorrated.com,173.196.141.189,2
wetheworld.net,173.161.28.76,2
breezeuc.org,12.50.9.220,1
legendarydata.com,75.145.116.115,4
wewantyourmeeting.com,75.145.75.93,1
dtfinvestments.com,173.8.1.66,1
northshoreadvisory.com,75.99.210.179,1
senatorsuzyglowiak.com,12.43.67.138,1
coventryce.org,12.10.217.91,1
ric.org,12.43.47.4,1
hobbyhodlr.com,23.24.244.233,1
antaresrealestate.com,75.99.222.11,1
dhcg.com,12.44.95.51,1
texashealthcenterfordiagnosticsandsurgeryplano.net,12.50.9.220,1
dcurd.org,12.43.30.66,1
titleist.asia,12.38.120.163,2
proceon.com,70.89.118.107,4
sunproductscorp.com,173.251.23.55,2
coloradoreviews.com,173.196.153.20,1
nebf.com,12.4.33.43,8
newjerseygreenscreenstudios.com,173.251.82.68,1
navs4cucloud.com,173.160.208.11,2
syscon-hosting.com,12.14.103.200,4
crimandolaw.com,50.76.187.254,1
vacationrentals.am,70.89.136.145,3
journeyatcreekside.com,23.30.44.97,1
boringprofessor.com,12.9.64.11,1
eptoyota.com,12.35.22.244,1
eugenetssui.com,23.24.220.97,1
campmor.com,24.38.54.116,2
fslebv.com,148.77.103.24,1
amtracollc.com,12.37.2.22,1
ipfabrics.com,12.12.158.75,2
madinat-jumeirah-dubai.com,12.47.196.209,1
lwderm.com,70.88.219.41,1
barrelny.com,108.176.17.234,1
diamondequipmentandsupply.com,23.31.67.217,1
4injury.net,173.160.46.162,1
thermofisherstore.com,12.38.206.91,1
nciaffiliates.org,12.47.132.242,1
cciwebact.net,173.196.16.35,1
slomins.biz,12.34.126.14,1
ritterchusid.com,12.46.242.2,1
timedomain.com,50.76.152.18,1
worldstarsales.com,75.99.25.180,1
adhduniversity.com,24.38.59.165,2
yojna.com,12.52.139.98,17
ansoniasteel.com,173.9.89.106,1
oeof.org,12.54.67.54,1
yournewblue.com,12.53.31.245,1
rwjhamilton.net,12.26.45.207,1
unitedmcgill.com,12.34.50.43,3
sccountybank.com,12.31.105.82,1
fgfmill.com,12.2.1.43,1
