Dominio, Puertos
kiaebs.org,"443,80"
www.zeroweb.kr,80
mta-sts.mail.tbkids.com,25
webjun.net,"80,53"
kids79.com,21
mail.dstour.com,"80,873,25,443"
mail.xn--z69aql272cpb.com,"80,21,443,873"
ns.xn--z69aql272cpb.com,21
mail.verticalmining.com,"25,21,110,465,993,80,143,995,443"
mail.kukdaeawning.com,"25,53,80"
mail.builweb.com,"22,110,25,873,53,587,143"
mail.gncohi.com,"53,25,80,443,453,456,452,455"
mail.pturn.net,143
pturn.net,"21,22,80,25,143,110,443"
mail.080-667-8899.com,25
xn--hz2b45b87hmsebsb36avzce80c.com,"80,873,25"
gangsan21.com,"110,80"
mail.pluschambergroup.com,"80,873"
m2.mkt-hyundai.com.br,25
tigermini.com,80
haenam.net,25
admin.acelalashop.com,"21,80,443"
hostmaster.xn--bb0bq47e.club,"80,53,873"
sdchem.com,80
admin.xn--js0bl3ekxk.club,"80,53"
mail.xn--js0bl3ekxk.club,"80,53,873"
wahotel.itrocks.kr,25
lucielus.itrocks.kr,25
47-44-60-130.static.unas.mo.charter.com,"80,443"
068-186-180-059.biz.spectrum.com,"80,427,443,902"
suk42.suidc.com,25
sus82.suidc.com,25
miraeenergy.net,80
www.nvoim.com,80
trizchunga.com,"22,80"
www.younghepark.com,"22,21,80"
younghepark.com,"21,22,80"
hk.hakgo.net,"22,21"
www.nscompany.co.kr,80
mail.shinchanghotmelt.co.kr,"21,25,80,143,110"
chinese21.co.kr,"21,80"
oliy.co.kr,25
gwduru.mobitron.co.kr,"53,80"
hanwhadc.mobitron.co.kr,"53,80,135"
hsbugyang.mobitron.co.kr,"80,135,53"
datawave.co.kr,80
mail.buttumakgj.co.kr,"21,22,80"
postmaster.alumall.co.kr,"25,80,873"
www.metree.co.kr,80
ns2.donow.co.kr,"53,110,80,25,22,143,21"
ns1.ncomservice.co.kr,53
mail.firenara.co.kr,25
ns1.3dexpo.co.kr,"21,80"
board.nong21.co.kr,"21,80"
mail.daezertour.com,21
www.paranvpn.com,"21,22"
ns3.xn--ob0bwih14a32s.com,80
postmaster.xn--ob0bwih14a32s.com,21
mail.namji.net,25
postmaster.xn--220bq3dn1huxcd07aowi.com,21
healinghill.net,"22,110,25,21,80,143"
chowonfood.fordining.kr,"53,80,873"
tibawj.fordining.kr,25
pang.co.in,"80,443"
admin.goldbiga.net,"53,80"
mail.mizbeauty.net,"25,80"
ns.xn--2e0boof3jmpmky4a.com,21
mail.xn--li5b7o7sr7era.com,"21,873"
mail.bottegavinno.com,21
danggojipsa.alldaycafe.kr,"25,53"
www.smartaq.com,"21,80"
dongkug.com,"80,25"
k.dongkug.com,21
postmaster.jaewonmachine.com,21
admin.xn--9t4b21x.club,53
xn--9t4b21x.club,"53,80"
mail.080-888-2000.com,25
estatemetro.com,110
www.jangseungpo.nonghyupi.com,21
dangjinch.nonghyupi.com,"21,80,143"
gangchonbbq.com,80
ns1.reborn2016.com,80
reborn2016.com,21
ns2.ofsystem.net,53
forbeauty.kr,"25,53,80,873"
gowooneye.forbeauty.kr,"25,53,873"
www.haenam.com,110
mail.hiscom21.com,"25,22"
mail.cybereasonkorea.com,25
mail.riche-bio.com,21
mail.swt-hydraulics.com,25
mail.dgdhele.com,53
fyforu.com,"21,80,873,443"
www.ccokko.com,"22,21,80,143"
www.imt-digital.com,21
burritolee.com,21
xn--hq1by4fd6duxiba905eitz8ta.com,80
ns2.xn--299aa262fnkolvco62a.com,21
ns.xn--299aa262fnkolvco62a.com,80
mintnamoo.net,21
hsadfrance.com,53
cbbumo.org,"80,21"
ns3.booknart.com,25
mail.osungdnc.com,"80,25"
www.suhosin.net,143
www.airdrop.camp,"80,443"
woorimedi.allthemedi.com,"80,25"
mail.dbsoftbank.com,"22,143,25,53,110"
elalala.com,"21,80"
mail.xn--vk1br5hc13a.club,53
www.drrefer.net,80
mail.gumibeauty.net,80
1000rian.com,"25,53"
1800-2663.com,25
allofthat.kr,"25,53,80"
ns3.stwon.com,21
mail.xn--9g3b2j471c.club,873
