Rango,ASN,Organización,Descripción,País,Rango padre
116.121.10.0/24,10035,HYUNDAIDEPT-AS-KR,"Hyundai Department Store Co., Ltd.",KR,116.120.0.0/13
123.111.138.0/24,10035,HYUNDAIDEPT-AS-KR,"Hyundai Department Store Co., Ltd.",KR,123.111.0.0/16
123.111.139.0/24,10035,HYUNDAIDEPT-AS-KR,"Hyundai Department Store Co., Ltd.",KR,121.46.128.0/17
123.111.174.0/24,10035,HYUNDAIDEPT-AS-KR,"Hyundai Department Store Co., Ltd.",KR,123.111.0.0/16
123.111.175.0/24,10035,HYUNDAIDEPT-AS-KR,"Hyundai Department Store Co., Ltd.",KR,123.111.0.0/16
123.111.176.0/24,10035,HYUNDAIDEPT-AS-KR,"Hyundai Department Store Co., Ltd.",KR,123.16.0.0/12
211.109.95.0/24,10035,HYUNDAIDEPT-AS-KR,"Hyundai Department Store Co., Ltd.",KR,211.108.0.0/15
211.181.149.0/24,10035,HYUNDAIDEPT-AS-KR,"Hyundai Department Store Co., Ltd.",KR,211.180.0.0/15
211.181.159.0/24,10035,HYUNDAIDEPT-AS-KR,"Hyundai Department Store Co., Ltd.",KR,211.180.0.0/15
1.232.195.0/24,131094,HYUNDAIMOTORCO-AS-KR,HYUNDAI MOTOR CO,KR,1.224.0.0/11
103.162.52.0/24,131094,HYUNDAIMOTORCO-AS-KR,HYUNDAI MOTOR CO,KR,103.162.52.0/23
103.162.53.0/24,131094,HYUNDAIMOTORCO-AS-KR,HYUNDAI MOTOR CO,KR,103.162.52.0/23
121.78.27.0/24,131094,HYUNDAIMOTORCO-AS-KR,HYUNDAI MOTOR CO,KR,121.78.0.0/16
103.58.234.0/23,134225,HYUNDAI-AS-AP,Hyundai Motor India Engineering Pvt Ltd,IN,103.58.234.0/23
203.13.240.0/22,135879,HYUNDAI-AS-AP,Hyundai Motor Company Australia Pty Ltd,AU,203.13.240.0/20
203.13.240.0/21,135879,HYUNDAI-AS-AP,Hyundai Motor Company Australia Pty Ltd,AU,203.21.48.0/20
203.13.240.0/20,135879,HYUNDAI-AS-AP,Hyundai Motor Company Australia Pty Ltd,AU,203.13.240.0/20
203.13.244.0/22,135879,HYUNDAI-AS-AP,Hyundai Motor Company Australia Pty Ltd,AU,203.13.240.0/20
203.13.248.0/21,135879,HYUNDAI-AS-AP,Hyundai Motor Company Australia Pty Ltd,AU,203.13.240.0/20
203.13.248.0/24,135879,HYUNDAI-AS-AP,Hyundai Motor Company Australia Pty Ltd,AU,203.109.96.0/19
203.13.248.0/22,135879,HYUNDAI-AS-AP,Hyundai Motor Company Australia Pty Ltd,AU,203.13.240.0/20
203.13.250.0/24,135879,HYUNDAI-AS-AP,Hyundai Motor Company Australia Pty Ltd,AU,203.13.240.0/20
203.13.251.0/24,135879,HYUNDAI-AS-AP,Hyundai Motor Company Australia Pty Ltd,AU,203.128.64.0/19
203.13.252.0/22,135879,HYUNDAI-AS-AP,Hyundai Motor Company Australia Pty Ltd,AU,203.13.240.0/20
208.10.29.0/24,14961,HYUNDAI-INFORMATION-SERVICE-NORTH-AMERICA,"Kia Motors America, Inc.",US,208.57.0.0/16
59.150.52.0/24,17838,E-HYUNDAI-AS-KR,HYUNDAI HOMESHOPPING,KR,59.150.0.0/16
124.137.36.0/24,17838,E-HYUNDAI-AS-KR,HYUNDAI HOMESHOPPING,KR,124.136.0.0/14
124.137.37.0/24,17838,E-HYUNDAI-AS-KR,HYUNDAI HOMESHOPPING,KR,124.136.0.0/14
211.52.154.0/24,17838,E-HYUNDAI-AS-KR,HYUNDAI HOMESHOPPING,KR,211.52.144.0/20
211.111.77.0/24,17838,E-HYUNDAI-AS-KR,HYUNDAI HOMESHOPPING,KR,210.214.128.0/17
211.247.156.0/24,17838,E-HYUNDAI-AS-KR,HYUNDAI HOMESHOPPING,KR,211.228.0.0/14
211.247.157.0/24,17838,E-HYUNDAI-AS-KR,HYUNDAI HOMESHOPPING,KR,211.247.128.0/17
211.247.158.0/24,17838,E-HYUNDAI-AS-KR,HYUNDAI HOMESHOPPING,KR,211.247.128.0/17
45.231.44.0/24,265546,"HYUNDAI AUTOEVER MEXICO, S. DE R.L. DE CV","HYUNDAI AUTOEVER MEXICO, S. DE R.L. DE CV",MX,45.238.56.0/22
45.231.45.0/24,265546,"HYUNDAI AUTOEVER MEXICO, S. DE R.L. DE CV","HYUNDAI AUTOEVER MEXICO, S. DE R.L. DE CV",MX,45.231.44.0/22
45.231.46.0/24,265546,"HYUNDAI AUTOEVER MEXICO, S. DE R.L. DE CV","HYUNDAI AUTOEVER MEXICO, S. DE R.L. DE CV",MX,46.232.160.0/22
45.231.47.0/24,265546,"HYUNDAI AUTOEVER MEXICO, S. DE R.L. DE CV","HYUNDAI AUTOEVER MEXICO, S. DE R.L. DE CV",MX,45.231.44.0/22
58.180.0.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.0.0/16,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.0.0/23,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.0.0/17,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.2.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.3.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.4.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.5.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.8.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.9.0/24,4670,HYUNDAI-KR,Shinbiro,KR,55.0.0.0/8
58.180.13.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.15.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.16.0/23,4670,HYUNDAI-KR,Shinbiro,KR,59.88.0.0/13
58.180.17.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.19.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.23.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.24.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.68.128.0/17
58.180.26.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.27.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.28.0/24,4670,HYUNDAI-KR,Shinbiro,KR,47.254.0.0/16
58.180.28.0/23,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.30.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.32.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.33.0/24,4670,HYUNDAI-KR,Shinbiro,KR,49.248.128.0/18
58.180.34.0/23,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.36.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.37.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.40.0/23,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.40.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.40.0/21,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.42.0/23,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.43.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.44.0/22,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.51.0/24,4670,HYUNDAI-KR,Shinbiro,KR,58.180.0.0/16
58.180.52.0/24,4670,HYUNDAI-KR,Shinbiro,KR,49.228.0.0/14
