Dominio,IP,Número de subdominios
mercadona.com,195.53.42.3,4
comunitel.net,188.85.1.56,8
mercadona.life,213.186.33.5,1
mercadona.club,34.102.136.180,1
mercadona.com.py,194.36.123.74,1
mercadona.tel,52.50.143.27,1
mercadona.at,194.36.123.74,2
mercadona.ro,194.36.123.74,2
mercadona.pl,194.36.123.74,2
mercadona.dk,194.36.123.74,2
mercadona.gal,212.123.41.105,2
mercadona.eus,212.123.41.105,2
mercadona.ru,195.162.19.50,2
mercadona.info,151.80.26.206,2
mercadona.jobs,195.162.19.50,1
mercadona.de,195.162.19.50,1
mercadona.se,194.36.123.74,2
mercadona.sk,194.36.123.74,2
mercadona.site,31.214.178.54,1
mercadona.pt,195.53.40.241,2
mercadona.es,35.201.121.112,42
mercadona.com,195.53.40.242,30
mercadona.com.uy,66.248.237.83,3
