Rango,ASN,Organización,Descripción,País,Rango padre
195.53.40.0/24,201976,MERCADONA,MERCADONA S A,ES,195.53.0.0/16
195.53.40.0/23,201976,MERCADONA,MERCADONA S A,ES,195.53.0.0/16
195.53.41.0/24,201976,MERCADONA,MERCADONA S A,ES,195.53.0.0/16
195.53.42.0/23,201976,MERCADONA,MERCADONA S A,ES,195.53.0.0/16
195.53.42.0/24,201976,MERCADONA,MERCADONA S A,ES,195.53.0.0/16
195.53.43.0/24,201976,MERCADONA,MERCADONA S A,ES,195.53.0.0/16
195.55.118.176/29,3352,Telefonica_de_Espana,MERCADONA S A,ES,
213.0.113.160/30,3352,Telefonica_de_Espana,MERCADONA S.A.,ES,
217.124.142.96/28,3352,Telefonica_de_Espana,MERCADONA S.A.,ES,
217.124.142.112/28,3352,Telefonica_de_Espana,MERCADONA S.A.,ES,
194.224.192.8/29,3352,Telefonica_de_Espana,MERCADONA S A,ES,
195.57.238.176/30,3352,Telefonica_de_Espana,VPN public addresses,ES,
212.101.70.192/27,9165,SERVICOM2000-AS,"MERCADONA,S.A",ES,
212.101.70.224/27,9165,SERVICOM2000-AS,"MERCADONA,S.A",ES,
212.145.252.128/28,12430,VODAFONE_ES,MERCADONA S.A.,ES,
188.85.1.52/30,12357,COMUNITEL,MERCADONA S.A.,ES,
213.27.249.96/29,8220,COLT,"MERCADONA,S.A.",ES,
188.85.1.56/30,12357,COMUNITEL,MERCADONA S.A.,ES,
194.224.50.0/23,201976,ASMERCADONA,MERCADONA S.A.,ES,
