Subdominio,Dominio,IP
t11.mercadona.com,mercadona.com,195.53.42.3
t21.mercadona.com,mercadona.com,195.53.43.3
t21.mercadona.com,mercadona.com,195.53.43.3
t11.mercadona.com,mercadona.com,195.53.42.3
static-56-1-85-188.ipcom.comunitel.net,comunitel.net,188.85.1.56
static-57-1-85-188.ipcom.comunitel.net,comunitel.net,188.85.1.57
static-58-1-85-188.ipcom.comunitel.net,comunitel.net,188.85.1.58
static-59-1-85-188.ipcom.comunitel.net,comunitel.net,188.85.1.59
static-52-1-85-188.ipcom.comunitel.net,comunitel.net,188.85.1.52
static-53-1-85-188.ipcom.comunitel.net,comunitel.net,188.85.1.53
static-54-1-85-188.ipcom.comunitel.net,comunitel.net,188.85.1.54
static-55-1-85-188.ipcom.comunitel.net,comunitel.net,188.85.1.55
mercadona.life,mercadona.life,213.186.33.5
mercadona.club,mercadona.club,34.102.136.180
mercadona.com.py,mercadona.com.py,194.36.123.74
mercadona.tel,mercadona.tel,52.50.143.27
mercadona.at,mercadona.at,194.36.123.74
mercadona.ro,mercadona.ro,194.36.123.74
www.mercadona.ro,mercadona.ro,194.36.123.74
mercadona.pl,mercadona.pl,194.36.123.74
mercadona.dk,mercadona.dk,194.36.123.74
mercadona.gal,mercadona.gal,212.123.41.105
www.mercadona.gal,mercadona.gal,212.123.41.105
mercadona.eus,mercadona.eus,212.123.41.105
www.mercadona.eus,mercadona.eus,212.123.41.105
mercadona.ru,mercadona.ru,195.162.19.50
mercadona.info,mercadona.info,151.80.26.206
analisismercado.mercadona.info,mercadona.info,129.152.40.242
mercadona.jobs,mercadona.jobs,195.162.19.50
mercadona.de,mercadona.de,195.162.19.50
mercadona.se,mercadona.se,194.36.123.74
mercadona.sk,mercadona.sk,194.36.123.74
mercadona.site,mercadona.site,31.214.178.54
mercadona.pt,mercadona.pt,195.53.40.241
www.mercadona.pt,mercadona.pt,195.53.40.241
esmtp1.mercadona.es,mercadona.es,194.224.50.161
hooks.sta.tech.mercadona.es,mercadona.es,35.227.221.206
sts.mercadona.es,mercadona.es,195.53.40.201
t41.mercadona.es,mercadona.es,194.224.51.246
www.portalcliente.mercadona.es,mercadona.es,195.53.40.246
www.telecompra.mercadona.es,mercadona.es,195.53.40.243
hooks.tienda.mercadona.es,mercadona.es,34.95.104.178
smtp2.mercadona.es,mercadona.es,89.251.233.69
owa.mercadona.es,mercadona.es,194.224.50.166
consejos.mercadona.es,mercadona.es,178.33.113.97
mrs.mercadona.es,mercadona.es,194.224.50.166
informacion.mercadona.es,mercadona.es,178.33.113.97
pruebas.tienda.mercadona.es,mercadona.es,35.241.34.237
smtp1.mercadona.es,mercadona.es,89.251.233.68
tunel.mercadona.es,mercadona.es,195.55.245.36
cuidemoselplaneta.mercadona.es,mercadona.es,52.72.49.79
edge.mercadona.es,mercadona.es,194.224.50.166
telecompra.mercadona.es,mercadona.es,195.53.40.243
www.publicador.mercadona.es,mercadona.es,195.53.40.245
engineering.mercadona.es,mercadona.es,52.0.16.118
info.mercadona.es,mercadona.es,195.53.40.240
sta.tech.mercadona.es,mercadona.es,35.201.108.30
www.facturas.mercadona.es,mercadona.es,195.53.40.247
mercadona.es,mercadona.es,35.201.121.112
correo.mercadona.es,mercadona.es,195.53.40.208
tienda.mercadona.es,mercadona.es,35.227.232.204
autodiscover.mercadona.es,mercadona.es,195.53.40.208
o1.correoonline.mercadona.es,mercadona.es,167.89.88.4
www.ws.mercadona.es,mercadona.es,194.224.50.180
tunel.itg.mercadona.es,mercadona.es,80.28.193.73
www.mercadona.es,mercadona.es,35.201.121.112
owa.mercadona.com,mercadona.com,194.224.50.166
correo.mercadona.com,mercadona.com,195.53.40.208
edge.mercadona.com,mercadona.com,195.53.40.194
itg.activo2.mercadona.com,mercadona.com,35.190.66.54
t21.mercadona.com,mercadona.com,195.53.43.3
mercadona.com,mercadona.com,195.53.40.242
cms.pre.activo2.mercadona.com,mercadona.com,34.149.72.10
www.mercadona.com,mercadona.com,195.53.40.242
www.publicador.mercadona.com,mercadona.com,195.53.40.245
esmtp.mercadona.com,mercadona.com,194.224.51.162
pruebas.mercadona.com,mercadona.com,52.72.49.79
usuarios.mercadona.com,mercadona.com,195.53.40.244
activo2.mercadona.com,mercadona.com,35.241.62.196
api.mercadona.com,mercadona.com,195.53.40.211
clpc.pre.mercadona.com,mercadona.com,34.96.68.244
descargas.mercadona.com,mercadona.com,212.101.64.83
pre.activo2.mercadona.com,mercadona.com,35.190.43.84
cdn.lab.activo2.mercadona.com,mercadona.com,35.186.214.224
cms.activo2.mercadona.com,mercadona.com,34.149.96.8
jenkins.itg.activo2.mercadona.com,mercadona.com,34.117.220.223
mrs.mercadona.com,mercadona.com,195.53.40.208
t11.mercadona.com,mercadona.com,195.53.42.3
wifi.mercadona.com,mercadona.com,172.31.98.1
autodiscover.mercadona.com,mercadona.com,195.53.40.208
cms.lab.activo2.mercadona.com,mercadona.com,35.210.86.33
m.i.pre.activo2.mercadona.com,mercadona.com,35.190.72.128
cms.itg.activo2.mercadona.com,mercadona.com,35.210.191.208
empleo.mercadona.com,mercadona.com,52.72.49.79
fed.mercadona.com,mercadona.com,195.53.40.200
portalwifi.mercadona.com,mercadona.com,195.53.40.209
mercadona.com.uy,mercadona.com.uy,66.248.237.83
mail.mercadona.com.uy,mercadona.com.uy,66.248.237.83
